hhnum,food_insecure_flag_adult,adltfscat,foodsufficient,poverty_ratio,poverty_band,snap_any,foodpantry,household_size,num_adults,num_children,num_elderly,employed_adults,any_employed_adult,head_age,head_sex,head_hispanic,head_racecat,head_educcat,head_employment,region,rural,nonmetro,anyvehicle,vehiclenum,caraccess,dist_sm,dist_cs,dist_walmart,nearsnap_dist,nearff_dist,nearnonff_dist,fah_event_count,fah_storetype_unique,fafh_event_count,fafh_schoolmeal_events,targetgroup,hhwgt
100012,0,2,2,2.07360088855979,2.0-4.0 (moderate),False,0,5,3,2,0,3,1,47.5,1,0,1,3.0,1,3,1,1,1,2,-996,0.33,1.03,0.9,0.33,0.3,0.3,6.0,0.0,30.0,0.0,4,6056.91341191384
100015,0,2,3,1.28916741271262,1.0-1.3 (near poverty),True,0,1,1,0,0,0,0,62.5,1,0,2,3.0,5,3,0,0,1,1,-996,1.05,0.26,1.7,0.19,0.21,0.2,6.0,0.0,10.0,0.0,2,26741.1845581205
100024,0,2,2,3.98506278916061,2.0-4.0 (moderate),False,0,2,1,1,0,1,1,47.5,2,0,1,4.0,1,2,0,0,1,2,-996,4.77,1.72,3.56,0.9,0.85,0.37,3.0,0.0,7.0,0.0,3,31665.5790656652
100026,1,3,2,1.42762723066755,1.3-2.0 (low income),False,0,3,3,0,0,1,1,27.5,2,0,1,2.0,2,3,1,0,1,1,-996,12.3,7.2,11.12,1.72,10.93,1.7,9.0,0.0,10.0,0.0,2,5686.76197730133
100028,1,4,3,1.37348983681649,1.3-2.0 (low income),True,0,7,5,2,0,3,1,47.5,2,0,1,1.0,1,1,0,0,1,1,-996,1.17,0.41,4.17,0.41,0.86,0.46,7.0,0.0,7.0,0.0,4,1067.4314173177
100031,0,1,1,6.20276418597257,>4.0 (higher),True,0,2,2,0,1,1,1,68.0,2,0,1,4.0,5,1,0,0,1,2,-996,0.44,0.12,1.86,0.12,0.17,0.18,4.0,0.0,3.0,0.0,3,24517.3325552212
100040,0,1,2,1.18968935888962,1.0-1.3 (near poverty),False,0,2,2,0,1,1,1,47.5,1,1,5,4.0,3,3,0,0,1,1,-996,1.23,0.33,1.5,0.33,1.03,0.35,3.0,0.0,16.0,0.0,4,3376.15078406199
100049,0,1,1,2.05133871136721,2.0-4.0 (moderate),False,0,3,3,0,0,3,1,27.5,1,0,4,6.0,1,2,0,0,1,2,-996,3.92,0.17,3.44,0.17,0.06,0.06,2.0,0.0,1.0,0.0,3,1260.17329864625
100053,1,3,2,2.40581361533377,2.0-4.0 (moderate),False,0,2,2,0,0,2,1,62.5,2,0,1,5.0,1,3,0,0,1,2,-996,0.69,0.97,2.03,0.65,0.64,0.63,5.0,0.0,12.0,0.0,3,8672.99519125838
100054,0,1,1,7.809110629067249,>4.0 (higher),False,0,4,2,2,0,2,1,47.5,1,0,1,5.0,1,4,0,0,1,3,-996,0.4,0.5,3.75,0.4,0.32,0.17,6.0,0.0,5.0,0.0,3,65768.4565975434
100055,0,1,1,1.0412147505423,1.0-1.3 (near poverty),False,0,4,2,2,0,1,1,27.5,2,0,1,4.0,5,3,1,0,1,2,-996,2.59,2.61,8.03,2.51,9.01,3.29,4.0,0.0,4.0,0.0,2,27100.2663655693
100059,0,1,1,3.12104121475054,2.0-4.0 (moderate),True,0,4,2,2,0,1,1,27.5,1,1,1,4.0,3,4,0,0,1,4,-996,0.68,0.16,2.61,0.16,0.23,0.69,3.0,0.0,8.0,0.0,3,6797.91930341494
100060,0,1,3,1.09213483146067,1.0-1.3 (near poverty),False,1,2,2,0,0,0,0,47.5,2,0,2,1.0,5,2,0,0,0,-996,0,2.2,0.38,3.48,0.33,0.29,0.29,1.0,0.0,5.0,0.0,2,10144.7325771274
100061,0,1,1,3.25020590868397,2.0-4.0 (moderate),False,0,1,1,0,0,1,1,27.5,2,0,1,5.0,1,3,1,0,1,1,-996,0.55,0.23,3.09,0.23,0.55,0.32,3.0,0.0,3.0,0.0,3,24662.560761447
100067,0,2,2,3.46890668388763,2.0-4.0 (moderate),False,0,6,2,4,0,2,1,27.5,1,0,1,4.0,1,2,0,0,1,2,-996,1.17,0.94,1.05,0.94,0.97,0.96,7.0,0.0,13.0,0.0,3,67166.095690058
100069,1,3,2,1.46915401301518,1.3-2.0 (low income),False,0,4,3,1,0,1,1,47.5,2,0,3,4.0,1,4,0,0,1,2,-996,1.5,0.62,2.28,0.62,1.51,0.47,3.0,0.0,2.0,0.0,4,2865.9214524165
100073,1,3,1,1.53469927296761,1.3-2.0 (low income),True,0,2,2,0,1,1,1,85.0,2,0,1,4.0,5,1,1,1,1,1,-996,13.7,4.03,28.96,4.03,10.84,4.18,0.0,0.0,1.0,0.0,4,3102.13691797388
100074,0,1,2,2.77808219178082,2.0-4.0 (moderate),True,0,5,5,0,0,4,1,47.5,2,0,1,3.0,1,1,0,0,1,2,-996,0.66,0.29,3.57,0.08,0.36,0.04,4.0,0.0,26.0,0.0,3,4066.35299943487
100076,1,4,2,2.38438177874187,2.0-4.0 (moderate),False,0,4,2,2,0,1,1,27.5,2,0,1,4.0,1,2,0,0,1,3,-996,3.39,0.68,2.67,0.6,0.53,0.35,4.0,0.0,30.0,0.0,4,4422.92669236479
100083,0,2,2,1.63616830796777,1.3-2.0 (low income),False,1,1,1,0,0,0,0,62.5,2,0,1,3.0,5,2,0,0,1,1,-996,2.36,2.13,4.8,2.13,3.12,3.0,2.0,0.0,5.0,0.0,2,68153.5977557999
100088,0,2,1,2.26296490309062,2.0-4.0 (moderate),False,0,3,2,1,0,2,1,47.5,2,0,1,5.0,1,2,0,0,1,4,-996,2.01,0.43,3.1,0.43,0.45,0.34,2.0,0.0,21.0,1.0,3,32873.7068105636
100093,1,4,2,1.8659755646057,1.3-2.0 (low income),True,0,5,2,3,0,1,1,27.5,2,0,3,5.0,5,4,0,0,1,2,-996,0.61,0.14,2.41,0.14,0.13,0.59,3.0,0.0,10.0,0.0,3,6704.7742553958
100095,1,3,2,1.64798567591764,1.3-2.0 (low income),False,0,1,1,0,1,0,0,85.0,2,0,1,1.0,5,2,0,0,0,-996,-996,0.3,0.61,4.16,0.26,0.8,0.26,1.0,0.0,0.0,0.0,2,30372.0596155059
100104,0,1,1,7.74436877946569,>4.0 (higher),False,0,3,2,1,0,2,1,27.5,1,0,1,3.0,1,4,0,0,1,2,-996,0.9,0.29,4.24,0.29,0.29,0.07,1.0,0.0,3.0,0.0,3,63686.8431091759
100106,1,4,2,1.64253535882661,1.3-2.0 (low income),False,0,3,1,2,0,1,1,27.5,2,0,1,5.0,1,3,1,0,1,1,-996,1.09,1.18,2.13,0.85,0.87,0.87,2.0,0.0,15.0,1.0,2,7071.90881461983
100107,0,1,2,0.620899092272209,<=1.0 (at/below poverty),False,1,4,3,1,0,0,0,47.5,2,0,1,1.0,5,1,0,0,0,-996,-996,1.08,0.28,4.13,0.28,0.74,0.33,1.0,0.0,0.0,0.0,4,1804.0044926271
100110,1,4,4,1.1728944343891,1.0-1.3 (near poverty),True,0,5,5,0,0,1,1,47.5,2,0,1,3.0,5,1,0,0,1,3,-996,2.35,1.94,18.22,1.94,2.35,2.06,1.0,0.0,2.0,0.0,4,945.743722022964
100114,0,1,1,8.487018800358099,>4.0 (higher),True,0,1,1,0,0,1,1,27.5,1,0,1,6.0,1,1,0,0,1,1,-996,0.94,0.24,5.27,0.24,0.24,0.28,1.0,0.0,4.0,0.0,3,28559.0905215345
100128,0,1,2,2.01929940515532,2.0-4.0 (moderate),False,0,2,2,0,2,0,0,85.0,2,0,1,1.0,5,2,1,0,1,2,-996,2.0,1.34,2.16,1.34,1.62,2.02,1.0,0.0,6.0,0.0,3,19429.82276267
100132,1,3,3,0.293867735470942,<=1.0 (at/below poverty),False,0,7,4,3,0,2,1,47.5,2,1,5,5.0,5,1,0,0,1,1,-996,0.6,0.06,2.97,0.03,0.09,0.03,2.0,0.0,4.0,0.0,4,17359.1448571245
100135,0,1,1,0.48838659614276303,<=1.0 (at/below poverty),False,0,2,1,1,0,0,0,16.5,2,0,1,2.0,5,2,1,0,0,-996,-996,2.83,2.84,3.73,2.83,2.83,1.85,3.0,0.0,0.0,0.0,4,19345.1287541846
100138,1,3,2,1.95377379044387,1.3-2.0 (low income),False,0,9,4,5,0,2,1,27.5,2,0,1,2.0,5,4,0,0,1,2,-996,1.29,0.15,1.85,0.15,0.37,0.14,3.0,0.0,6.0,0.0,4,9518.88002853256
100140,0,2,1,9.68772430684043,>4.0 (higher),False,0,5,3,2,0,3,1,47.5,2,1,5,1.0,1,4,0,0,1,1,-996,0.33,0.52,4.0,0.33,0.02,0.02,4.0,0.0,9.0,0.0,3,42644.3519811336
100146,1,3,2,1.3536257833482501,1.3-2.0 (low income),False,0,1,1,0,0,1,1,27.5,2,0,1,4.0,1,2,0,0,1,1,-996,0.33,0.31,1.27,0.3,0.28,0.18,3.0,0.0,12.0,0.0,2,12183.6387603396
100148,0,1,1,1.4581876056015302,1.3-2.0 (low income),True,0,5,3,2,0,2,1,47.5,2,1,5,2.0,5,4,0,0,1,3,-996,0.65,0.14,2.59,0.14,0.19,0.66,3.0,0.0,3.0,0.0,2,2739.43283756333
100150,0,2,1,0.8935340563991321,<=1.0 (at/below poverty),True,1,4,3,1,0,1,1,47.5,2,0,1,2.0,5,3,0,0,0,-996,0,1.04,0.75,1.51,0.45,0.45,0.45,6.0,0.0,10.0,0.0,4,2836.18495405774
100151,0,1,2,1.8761940022214,1.3-2.0 (low income),False,0,5,2,3,0,2,1,27.5,1,0,2,5.0,1,3,1,0,1,2,-996,2.44,1.77,3.2,1.57,2.42,0.5,5.0,0.0,5.0,0.0,4,3432.55197446978
100155,0,1,1,7.99471249173827,>4.0 (higher),False,0,2,2,0,0,2,1,47.5,2,0,1,4.0,1,2,1,0,1,2,-996,3.9,3.9,4.76,3.89,3.86,3.1,2.0,0.0,17.0,0.0,3,87900.2590936208
100158,1,3,2,3.0685750907925597,2.0-4.0 (moderate),False,0,10,7,3,1,2,1,47.5,2,0,3,4.0,1,4,0,0,1,2,-996,0.28,0.25,0.81,0.25,0.25,0.23,5.0,0.0,21.0,0.0,3,15031.3486594945
100159,1,3,2,0.13375787436793002,<=1.0 (at/below poverty),True,0,3,1,2,0,0,0,47.5,2,1,1,3.0,5,4,0,0,1,1,-996,2.25,0.25,2.59,0.25,3.13,0.3,3.0,0.0,6.0,0.0,4,3143.94732204492
100162,1,3,1,1.20322291853178,1.0-1.3 (near poverty),True,0,1,1,0,0,0,0,27.5,1,0,2,4.0,3,2,0,0,0,-996,0,2.02,0.96,0.86,0.34,0.19,0.04,2.0,0.0,5.0,0.0,2,30424.6419538771
100163,0,1,1,2.28810895756941,2.0-4.0 (moderate),True,0,3,2,1,0,2,1,27.5,2,1,1,3.0,1,3,0,0,1,2,-996,1.7,0.38,3.62,0.38,1.11,0.15,4.0,0.0,14.0,0.0,4,3126.66377282155
